LinkedTermID,TermMasterID,TermID,Term,Term,TermType,ThesXrefType,ObjectNumber,Title,ObjectName,Description
10049271,10029912,10049271,"blad : bladschede, pinangpalm-","blad : bladschede, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-458-76,OMSLAGDOEK,omslagdoek,"Een omslagdoek gemaakt van geweven katoen. De doek is verpakt in een zak, die gemaakt is van het blad van een Pinangpalm. Aan de zak een koord van gedraaide vezels."
10049271,10029912,10049271,"blad : bladschede, pinangpalm-","blad : bladschede, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-458-20,TABAK,tabak ; verpakking,"Een hoeveelheid fijne tabak, die in de bladschede van een pinangboom gewikkeld is. De bladschede is in de vorm van een rechthoekige lange doos gevouwen. De einden zijn vastgezet met doorgestoken pennen."
10049271,10029912,10049271,"blad : bladschede, pinangpalm-","blad : bladschede, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-458-30,WATERSCHEPPER,waterschepper,"Een waterschepper gemaakt van de bladschede van een pinangpalm. De waterschepper is tasvormig en rechthoekig. De onderhoeken van de bladschede zijn naar binnen omgevouwen op zodanige wijze dat er delen uitsteken naar boven toe. Deze uiteinden worden tussen twee bamboelatten geklemd. De latten zijn met doorgestoken rotanrepen aan elkaar verbonden en tot een draagsnoer in elkaar gedraaid. Dit type waterschepper wordt gebruikt om water uit putten te scheppen, maar ook om daarin vis, vruchten of natte voorwerpen te bewaren."
10049420,10030061,10049420,blad : pinangblad,blad : pinangblad,Descriptor,Materiaal: Plantaardig (RM),RV-3600-722,Wateremmer,wateremmer,NULL
10049421,10030062,10049421,blad : pinangbladschede,blad : pinangbladschede,Descriptor,Materiaal: Plantaardig (RM),RV-1904-781,Mand,mand,NULL
10049421,10030062,10049421,blad : pinangbladschede,blad : pinangbladschede,Descriptor,Materiaal: Plantaardig (RM),RV-1904-782,Mand,mand,NULL
10049456,10030097,10049456,blad : sirihblad,blad : sirihblad,Descriptor,Materiaal: Plantaardig (RM),RV-959-92,Betelkoker,sirihkoker,"Bestaande uit het rotan sirihtasje waarin twee bamboekokers (één voor kalk, één voor tabak), een boombasten pakje voor de sirihbladeren en een sirihschaar."
10049487,10030128,10049487,bloem : bloem van pinangpalm,bloem : bloem van pinangpalm,Descriptor,Materiaal: Plantaardig (RM),RV-1904-386,Bezem,bezem,NULL
10049503,10030144,10049503,bloem : bloemtros van wilde pinang,bloem : bloemtros van wilde pinang,Descriptor,Materiaal: Plantaardig (RM),RV-1971-1112,Veger,veger,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-435-38,Boog,boog,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-550-14,Werpspeer?,werpspeer ?,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-550-15,Werpspeer?,werpspeer ?,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-532-14,Boog,boog,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-532-15,Boog,boog,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-532-26,Pijlen,Pijl (bundel),Elf pijlen.
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-532-32,Pijl,pijl,NULL
10049846,10030487,10049846,hout : hout (pinanghout),hout : hout (pinanghout),Descriptor,Materiaal: Plantaardig (RM),RV-532-33,Pijl,pijl,NULL
10049879,10030520,10049879,"hout : hout , pinang","hout : hout , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1241-370a,Vispijl,vispijl,NULL
10049879,10030520,10049879,"hout : hout , pinang","hout : hout , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1241-370b,Vispijl,vispijl,NULL
10049879,10030520,10049879,"hout : hout , pinang","hout : hout , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1241-370c,Vispijl,vispijl,NULL
10049879,10030520,10049879,"hout : hout , pinang","hout : hout , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1900-363,Lans,lans,NULL
10049880,10030521,10049880,"hout : hout , pinang-","hout : hout , pinang-",Descriptor,Materiaal: Plantaardig (RM),RV-1289-16,Staatsielans,staatsielans,NULL
10049896,10030537,10049896,"hout : hout ? , pinang","hout : hout ? , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1241-344,VISPIJL,Vispijl,"In Maluku Tenggara worden diverse visvangsttechnieken gehanteerd. Er wordt in het algemeen gevist m.b.v. fuiken, lijn en haak, vissperen en 'senapang', een houten 'onderwaterharpoen' waarbij door middel van een stuk elastiek een pijl met ijzeren punt wordt afgeschoten. Deze door de verzamelaar als 'vispijl' omschreven pijl, doet vermoeden dat op Damar daarnaast m. b.v. pijl en boog vissen worden verschalkt, een methode die waarschijnlijk alleen wordt toegepast op het rif. De punt van de pijl is samengesteld uit vier aangepunte stokjes van pinanghout, kransgewijs gerangschikt om een vijfde, langer stokje."
10050259,10030900,10050259,"hout : hout, pinang-","hout : hout, pinang-",Descriptor,Materiaal: Plantaardig (RM),RV-458-23,WANDFRAGMENT,wand (fragment),"Een deel van een wand van een woonhuis. Het wanddeel bestaat uit twee lagen, de voorste laag is gemaakt van platgeslagen bamboelatten, rechthoekig gevlochten met een patroon van concentrische rechthoken, de achterste \laag bestaat uit vertikale bladreen van de gebangpalm. Het geheel is opgesloten tussen een raamwerk van latten, van bamboe aan de voorzijde en van pinanghout aan de achterzijde en met rotanrepen bevestigd. Onderdeel van een Bimanees huis."
10050260,10030901,10050260,"hout : hout, pinang-hout","hout : hout, pinang-hout",Descriptor,Materiaal: Plantaardig (RM),RV-433-1,Boog,boog,Een boog gemaakt van een lengte Pinanghout. De boog is in doorsnede rond. De beide uiteinden zijn omwikkeld met gevlochten rotanrepen. Twee met vezels omwikkeld houten schijven dienen om de pees te bevestigen.
10050260,10030901,10050260,"hout : hout, pinang-hout","hout : hout, pinang-hout",Descriptor,Materiaal: Plantaardig (RM),RV-561-26,Boog,boog,NULL
10050260,10030901,10050260,"hout : hout, pinang-hout","hout : hout, pinang-hout",Descriptor,Materiaal: Plantaardig (RM),RV-536-6,Lans,lans,NULL
10050260,10030901,10050260,"hout : hout, pinang-hout","hout : hout, pinang-hout",Descriptor,Materiaal: Plantaardig (RM),RV-2051-62,Boog,boog ; boogpees,Een boog gemaakt van een lengte Pinanghout. De boog heeft een pees gemaakt van een lengte rotanreep. De beide uiteinden van de boog zijn omwikkeld met een rotanreep. De boogpees is om deze repen gewikkeld.
10050261,10030902,10050261,"hout : hout, pinang-hout, djati-hout","hout : hout, pinang-hout, djati-hout",Descriptor,Materiaal: Plantaardig (RM),RV-536-5,Lans,lans,Een lans  met schede.
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-483-84,Wandelstok,wandelstok,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-566-98,Boog met pijlen,boog,samen met pijlen 566-99 / 566-107
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-566-109,Lans,lans,"Een lans met een lange punt gemaakt van gesmeed uijzer. De punt heeft twee weerhaken. De schacht is van een lengte Pinanghout gesneden. De helft is omwikkeld met rotanrepen, rode repen, begrensd door diagonaal gevlochten ongekleurde ; gele of rode ringen."
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-566-119,Mand,mand,"Mand; van ongekleurde bamboerepen gevlochten. De vorm is enigzins ovaal. De binnenruimte is in drieen verdeeld door middel van houten schotjes, die ook van boven gesloten zijn, met een rond gaatje in het midden. Aan een zijde zijn twee gehalveerde bamboekokers met rotanrepen bevestigd. Voorzien van twee, van rotan visgraatvormig gevlochten strikken en vier pennen van pinanghout. Deze pennen zijn bedoeld om in de grond te slaan, hieraa worden de strikken bevestigd.

Deze mand diende voor de jacht. Hierin werden vogels en andere dieren gevangen."
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-553-6,Bromhout,bromhout / snorrebot,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-718-5,Doos,doos,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-718-6,Lans,lans,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-718-7,Lans,lans,Deze lans wordt gebruikt voor de varkensjacht.
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-825-132,Boog,boog,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-825-133,Boog,boog,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-401-77,Boog,boog,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-464-48,Besnijdenisgereedschap,besnijdenisgereedschap,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-464-49,Besnijdenisgereedschap,besnijdenisgereedschap,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-929-536,PIJL,Pijl (bundel),"Tien pijlen.
Deze pijlen werden gebruikt voor de jacht op varkens en buidelratten en misschien ook om mensen te doden omdat volgens de oorspronkelijke verzamelaar de Seget niet kunnen trouwen, voor dat zij twee koppen gesneld hebben."
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-929-537,PIJL,pijl,"Deze pijl werd gebruikt voor de jacht op varkens en buidelratten en misschien ook om mensen te doden omdat volgens de oorspronkelijke verzamelaar de Seget niet kunnen trouwen, voor dat zij twee koppen gesneld hebben."
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1067-16,Speer,speer,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1067-18,Speer,speer,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1067-19,Speer,speer,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-2051-5,KLOPPER,klopper,"Een klopper, een Tjidako-klopper gemaakt van Pinanghout. Het slaggedeelte is ovaal in doorsnede en wordt naar onderen dikker. De platte kant heeft een aantal ingesneden richels. De smallere greep is rechthoekig, wordt aan het uiteinde dikker en loopt in een punt uit."
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1685-95,Pootstok,pootstok,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1685-96,Mes,mes,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-1685-117,Speer,speer,NULL
10050262,10030903,10050262,"hout : hout, pinanghout","hout : hout, pinanghout",Descriptor,Materiaal: Plantaardig (RM),RV-3600-3949,Boog,boog,NULL
10050263,10030904,10050263,"hout : hout, pinanghout x?","hout : hout, pinanghout x?",Descriptor,Materiaal: Plantaardig (RM),RV-1063-8,ARENPALMHOUTEN BOOG MET PEES (ROUROU),boog,De rourou (roro) wordt door de jager zelf gemaakt. De boog wordt gemaakt van het harde hout van de arenpalm en is ongeveer 1.80 meter lang. Hij wordt met een slijpsteen en ruwe balderen glad geschuurd en gepolijst en met plantaardig sap zwartbruin geverfd. Het boveneinde is in ieder dal van Siberut verschillend versierd. De pees wordt uit de bast van de baiko-boom (Artocarpus incisa) vervaardigd. De lussen aan de uiteinden van de pees worden gemaakt door de pees dubbel te buigen en met draad te omwikkelen. Tijdens de eerste jacht wordt de boog ritueel ingewijd en worden er offers gebracht.
10050264,10030905,10050264,"hout : hout, pinangpalm-","hout : hout, pinangpalm-",Descriptor,Materiaal: Plantaardig (RM),RV-37-220,Lans,lans,NULL
10050265,10030906,10050265,"hout : hout, pinangpalmhout","hout : hout, pinangpalmhout",Descriptor,Materiaal: Plantaardig (RM),RV-2051-69,Boog,boog,NULL
10050458,10031099,10050458,"hout : palm, pinangpalm","hout : palm, pinangpalm",Descriptor,Materiaal: Plantaardig (RM),RV-2289-3,DRAAGMAND (MODEL),draagmand (model),NULL
10050543,10031184,10050543,noot : betel,noot : betel,Descriptor,Materiaal: Plantaardig (RM),RV-268-258,SANGGAU (MODEL),huis (model) / huisapotheek?,"Huisje vervaardigd van het merg van de stengels van de sala ; rechthoekig met tweevlakkig dak ; in het huisje negen bakjes met pisangblad (limai), gevuld met rijst, betel en tabak"
10050543,10031184,10050543,noot : betel,noot : betel,Descriptor,Materiaal: Plantaardig (RM),RV-1569-47,Doos,doos,NULL
10050543,10031184,10050543,noot : betel,noot : betel,Descriptor,Materiaal: Plantaardig (RM),RV-1569-48,Doos,doos,NULL
10050543,10031184,10050543,noot : betel,noot : betel,Descriptor,Materiaal: Plantaardig (RM),RV-1569-49,Doos,doos,NULL
10050544,10031185,10050544,"noot : betel, kurk, koper","noot : betel, kurk, koper",Descriptor,Materiaal: Plantaardig (RM),RV-1569-46,Betelkoker,betelkoker,NULL
10050545,10031186,10050545,noot : betelnoot,noot : betelnoot,Descriptor,Materiaal: Plantaardig (RM),RV-483-115,Beteltas,sirihtas,Sirihzak van een Singalese visser met daarin een schaar.
10050587,10031228,10050587,"noot : noot , pinang","noot : noot , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1710-80,PINANGNOOT,pinangnoot (monster),"Een monster pinangnoten in handelsverpakking. De verpakking heeft een ronde staafvorm en is gemaakt van pinangbladscheden. De uiteinden zijn omwikkeld met bastvezels. In het midden zijn op verschillende plaatsen pennen doorgestoken. In deze vorm worden de pinangnoten verhandeld. De koper mag, ter controle, een inkeping in de verpakking maken om de kwaliteit te controleren."
10050587,10031228,10050587,"noot : noot , pinang","noot : noot , pinang",Descriptor,Materiaal: Plantaardig (RM),RV-1680-2,Muziekinstrument,muziekinstrument,inventariskaart ontbreekt
10050588,10031229,10050588,"noot : noot , pinangnoot","noot : noot , pinangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-1429-36,BOLOM NI TJANTIK,zak ; vuurslag ; tondeldoos,NULL
10050602,10031243,10050602,"noot : noot, betelnoot","noot : noot, betelnoot",Descriptor,Materiaal: Plantaardig (RM),RV-1134-63,DRAAGNET,net ; draagnet ; zak ; draagzak,"Deze netten werden door de vrouwen over het hoofd gedragen om baby's, oogst en andere lasten te dragen. Kleinere en versierde draagnetten werden door alleen de mannen gedragen."
10050602,10031243,10050602,"noot : noot, betelnoot","noot : noot, betelnoot",Descriptor,Materiaal: Plantaardig (RM),RV-413-27,BETELNOOT,betelnoot (monster),Een van de veel gebruikte natuurproducten in oude Thailand
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-843-1,Duivenfluit,Duivenfluitje,De fluit wordt aan de staart van duiven bevestigd.
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-843-2,Duivenfluit,Duivenfluitje,De fluit wordt aan de staart van duiven bevestigd.
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-843-3,Duivenfluit,Duivenfluitje,De fluit wordt aan de staart van duiven bevestigd.
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-843-4,Duivenfluit,Duivenfluitje,De fluit wordt aan de staart van duiven bevestigd.
10050624,10031265,10050624,"noot : noot, penangnoot","noot : noot, penangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-843-5,Duivenfluit,Duivenfluitje,De fluit wordt aan de staart van duiven bevestigd.
10050625,10031266,10050625,"noot : noot, pinangnoot","noot : noot, pinangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-1528-151,HAARKAM,kam,"Beschrijvingskaart:
Van arengnerven met zes punten, omwikkeld en doorvlochten met rotan en touw, handgrrep platovaal met rotan doorvlochten en omwonden met stukjes koeskoeskuid met aan het eind een pinangnoot.

Sande distinguished two kinds of wooden combs,  according to whether they are made of one single piece of wood or of several pieces tied together. The latter could be divided in two categories namely, those of which the material is bamboo and those of palm wood 
Most of these combs have, however, a narrow handle, in consequence of the strong flattening, made at that part of the pins. Some comb handles have a varying breadth, a result obtained by the varying breadth of the component parts, also sometimes obtained by adding extra pins to the handle. Some combs have two handles (see 1528-156) each formed a continuation of a group of pins. According to Sande and the researches of J. Jeswiet the pins were made with leaf-sheaths of Arenga saccharifera. 
The areca-nut, after removing the kernel, stuck on the end of the handle and fastened with a black sticking material, forms a very common ornament of these combs. A strip of hairy couscous skin wound round the handle and fastened with a bark fibre tied round. Sometimes there are also strips of red calico, feathers, or Cardamomum leaves. 
The ornamental comb stuck in the hair and thus carried about, in order always to have them at hand. The long points also make it possible to use the combs as scratchers. Combs were according to Sande, almost exclusively worn by men.
Sande claimed that people from Sentani Lake wore less comb and generally less ornament than their neighbour from Humboldt Bay
"
10050625,10031266,10050625,"noot : noot, pinangnoot","noot : noot, pinangnoot",Descriptor,Materiaal: Plantaardig (RM),RV-1485-918,GORDEL,gordel,"In Oceanië werd bijna elk materiaal dat in de natuur te vinden was gebruikt voor het maken van sieraden. Materialen die niet in de directe omgeving voorkwamen werden via ruilhandel verkregen of men trok naar die gebieden toe. Het verzamelen en bewerken van juweelmaterialen werd óf door de mannen, óf juist door de vrouwen gedaan. De mannen ondernamen gewoonlijk de langdurige en soms zelfs gevaarlijke handelsexpedities, de vrouwen bleven dichter in de buurt van de nederzettingen om daar materialen te zoeken. Elke regio had zijn eigen waardevolle grondstoffen. Zo was bijvoorbeeld jade belangrijk voor de Maori, werden slagtanden van varkens hooggewaardeerd in Nieuw-Guinea en potvistanden waren en zijn nog steeds een statussymbool op Fiji. Het materiaal zelf was niet alleen kostbaar, het droeg ook de boodschap uit dat de drager de connecties en de middelen had om dat materiaal te krijgen. Het waren vooral de mannen die sieraden droegen, de vrouwen deden dat veel minder. Ook de mannen beheerden de sieraden die gezien werden de het eigendom en de rijkdom van de familie. Zowel het sieraad als de materialen waarvan het gemaakt was droegen boodschappen uit. In Melanesië is met name de band tussen sieraad en betaalmiddel erg sterk, vooral in de gebieden waar schelpengeld in omloop was. Dit betekent dat strengen schelpengeld om bijvoorbeeld de nek werden gedragen waardoor ze een sieraad werden maar ook dat schelpengeld direct in lichaamsdecoraties verwerkt werden, bijvoorbeeld de nassa- schelpjes in Nieuw- Brittannië waardoor de sieraden in waarde stegen. Ook beschermden de sieraden de drager tegen bovennatuurlijke bedreigingen en magie. Bepaalde bloemen en kruiden die in sieraden gestoken werden roken niet alleen lekker, de juiste combinatie ervan kon bijvoorbeeld ook vrouwen aantrekken of bescherming in de strijd bieden. Bij de Tolai in Nieuw- Brittannië kregen lichaamsversieringen speciale krachten toebedeeld door een magiër van de geheime ""Ingiet""- genootschap. Sommige van deze krachten gingen over op de drager van het sieraad, andere moesten telkens weer vernieuwd worden. Naast het geven van bescherming toonden sieraden ook de sociale status van de drager en zijn plaats binnen de gemeenschap. In veel gebieden in Oceanië konden bepaalde sieraden alleen gedragen worden nadat de drager ervan een initiatieritueel was ondergaan, meestal om als een volwassene te worden beschouwd. Andere sieraden werden gedragen nadat een man voor het eerst in de strijd gedood had, als teken dat de vijand voor hem moet vrezen omdat hij al ervaring heeft. Leiderschap werd ook met bepaalde decoraties aangegeven en familiebanden werden met behulp van sieraden verduidelijkt. Ook waren sieraden erfstukken die van generatie op generatie werden doorgegeven, zoals ook in westerse samenlevingen gebruikelijk is. Hierbij was het ook gebruikelijk om lichaamsdelen van de overledene zoals tanden, haar, vingers en de schedel in sieraden te verwerken die door de rouwende familieleden gedragen werden. Persoonlijke bezittingen van de overledene werden ook als sieraad gedragen, een gebruik dat tegenwoordig nog steeds in acht wordt genomen. Met de komst van Europeanen en de bekering van de inheemse bevolking tot het Christendom veranderden ook de sieraden en de boodschap die zij uitdroegen. Nieuwe materialen vervingen de oude met het wereldbeeld dat daarmee samenging.
"
10050626,10031267,10050626,"noot : noot, pinangnootschil","noot : noot, pinangnootschil",Descriptor,Materiaal: Plantaardig (RM),RV-1485-26,Halssnoer,halssnoer,NULL
10050643,10031284,10050643,noot : pinangnoot,noot : pinangnoot,Descriptor,Materiaal: Plantaardig (RM),RV-1904-62,Tas,Draadtas / draagtas,In de tas bevinden zich twee pinangnoten.
